,missing_count,missing_percent,dtype
eid,0,0.0,int64
vdate,0,0.0,object
rcount,0,0.0,object
gender,0,0.0,object
dialysisrenalendstage,0,0.0,int64
asthma,0,0.0,int64
irondef,0,0.0,int64
pneum,0,0.0,int64
substancedependence,0,0.0,int64
psychologicaldisordermajor,0,0.0,int64
depress,0,0.0,int64
psychother,0,0.0,int64
fibrosisandother,0,0.0,int64
malnutrition,0,0.0,int64
hemo,0,0.0,int64
hematocrit,0,0.0,float64
neutrophils,0,0.0,float64
sodium,0,0.0,float64
glucose,0,0.0,float64
bloodureanitro,0,0.0,float64
creatinine,0,0.0,float64
bmi,0,0.0,float64
pulse,0,0.0,int64
respiration,0,0.0,float64
secondarydiagnosisnonicd9,0,0.0,int64
discharged,0,0.0,object
facid,0,0.0,object
lengthofstay,0,0.0,int64
