,mean,median,mode,std,variance,IQR,min,max
lengthofstay,3.9993677042801554,4.0,1.0,2.35774427764552,5.558958078770196,4.0,1.0,17.0
hematocrit,11.966871541287533,11.9,11.9,2.0386213944858302,4.155977190055352,2.0,4.4,24.1
neutrophils,10.196406466170089,9.4,9.4,5.271263073386119,27.786214388844073,3.8,0.1,245.9
sodium,137.8967925782458,137.90087085,133.816514,3.0007269073090796,9.004361972248713,4.040305474999997,124.9126324,151.3872826
glucose,142.05274568462775,142.24927780000002,129.7202111,29.92314219316758,895.3944387125258,40.3342097,-1.005926859,268.5711564
bloodureanitro,14.11301664504157,12.0,12.0,12.749796931771574,162.55732180141183,3.0,1.0,682.5
creatinine,1.0990372541567608,1.098405073,0.896880746,0.20043651131780188,0.040174795069251326,0.27054010100000014,0.219769531,2.035202092
bmi,29.803678516511187,29.80474456,28.30306236,2.000389997295112,4.001560141278338,2.6960390349999983,22.03769476,38.93529337
pulse,73.42256809338521,73.0,71.0,11.651836936583223,135.76530399672512,15.0,21.0,126.0
respiration,6.492792504323331,6.5,6.5,0.5725509117609818,0.32781454655833164,0.0,0.2,10.0
secondarydiagnosisnonicd9,2.122454604409857,1.0,1.0,2.053595742562554,4.217255473871048,2.0,0.0,10.0
