,lengthofstay
psychologicaldisordermajor,0.28101040905148394
hemo,0.218141095651328
irondef,0.1942896665804837
psychother,0.19390488605036943
malnutrition,0.17069500246195435
dialysisrenalendstage,0.1703124315858726
bloodureanitro,0.151433786157073
substancedependence,0.14964178289978308
pneum,0.135204577921952
depress,0.12254259386673222
asthma,0.0834854598672716
hematocrit,-0.06456848189956668
fibrosisandother,0.05625871077088074
respiration,-0.02112199058887818
neutrophils,-0.008651909446097885
creatinine,-0.00710058270409178
secondarydiagnosisnonicd9,0.005962937389514065
pulse,0.005168336004572049
sodium,-0.003619955239014095
glucose,0.0008096145744820831
bmi,-0.0004943001655407837
